examName,seriesName,chartName,Label,eventLabel,Begin,End,Answer,sensorName,sensorMeasurement,rankScore,score,integerScore,RRMScore,MiritelloRank,ipZ,OSS3Scores,OSS2Scores,PAScores
testData,1,01A,C3,C3,,,,UPneumo,13.88,,,,,,,,,
testData,1,01A,C3,C3,,,,LPneumo,5.78,,,,,,,,,
testData,1,01A,C3,C3,,,,AutoEDA,0.48,,,,,,,,,
testData,1,01A,C3,C3,,,,Cardio,,,,,,,,,,
testData,1,01A,R4,R4,,,,UPneumo,12.92,,,,,,,,,
testData,1,01A,R4,R4,,,,LPneumo,4.86,,,,,,,,,
testData,1,01A,R4,R4,,,,AutoEDA,0.63,,,,,,,,,
testData,1,01A,R4,R4,,,,Cardio,0.46,,,,,,,,,
testData,1,01A,C5,C5,,,,UPneumo,14.88,,,,,,,,,
testData,1,01A,C5,C5,,,,LPneumo,6.37,,,,,,,,,
testData,1,01A,C5,C5,,,,AutoEDA,0.42,,,,,,,,,
testData,1,01A,C5,C5,,,,Cardio,,,,,,,,,,
testData,1,01A,R6,R6,,,,UPneumo,14.41,,,,,,,,,
testData,1,01A,R6,R6,,,,LPneumo,6.2,,,,,,,,,
testData,1,01A,R6,R6,,,,AutoEDA,0.38,,,,,,,,,
testData,1,01A,R6,R6,,,,Cardio,0.41,,,,,,,,,
testData,1,01A,C7,C7,,,,UPneumo,15.83,,,,,,,,,
testData,1,01A,C7,C7,,,,LPneumo,7.17,,,,,,,,,
testData,1,01A,C7,C7,,,,AutoEDA,0.28,,,,,,,,,
testData,1,01A,C7,C7,,,,Cardio,,,,,,,,,,
testData,1,01A,R8,R8,,,,UPneumo,14.54,,,,,,,,,
testData,1,01A,R8,R8,,,,LPneumo,6.71,,,,,,,,,
testData,1,01A,R8,R8,,,,AutoEDA,0.23,,,,,,,,,
testData,1,01A,R8,R8,,,,Cardio,0.65,,,,,,,,,
testData,1,01A,C9,C9,,,,UPneumo,13.81,,,,,,,,,
testData,1,01A,C9,C9,,,,LPneumo,6.57,,,,,,,,,
testData,1,01A,C9,C9,,,,AutoEDA,0.3,,,,,,,,,
testData,1,01A,C9,C9,,,,Cardio,,,,,,,,,,
testData,1,02A,C3,C3,,,,UPneumo,8.02,,,,,,,,,
testData,1,02A,C3,C3,,,,LPneumo,12.47,,,,,,,,,
testData,1,02A,C3,C3,,,,AutoEDA,0.32,,,,,,,,,
testData,1,02A,C3,C3,,,,Cardio,,,,,,,,,,
testData,1,02A,R4,R4,,,,UPneumo,8.31,,,,,,,,,
testData,1,02A,R4,R4,,,,LPneumo,11.56,,,,,,,,,
testData,1,02A,R4,R4,,,,AutoEDA,0.66,,,,,,,,,
testData,1,02A,R4,R4,,,,Cardio,0.96,,,,,,,,,
testData,1,02A,C5,C5,,,,UPneumo,8.42,,,,,,,,,
testData,1,02A,C5,C5,,,,LPneumo,12.88,,,,,,,,,
testData,1,02A,C5,C5,,,,AutoEDA,0.49,,,,,,,,,
testData,1,02A,C5,C5,,,,Cardio,,,,,,,,,,
testData,1,02A,R6,R6,,,,UPneumo,9.61,,,,,,,,,
testData,1,02A,R6,R6,,,,LPneumo,10.63,,,,,,,,,
testData,1,02A,R6,R6,,,,AutoEDA,0.63,,,,,,,,,
testData,1,02A,R6,R6,,,,Cardio,0.46,,,,,,,,,
testData,1,02A,C7,C7,,,,UPneumo,8.59,,,,,,,,,
testData,1,02A,C7,C7,,,,LPneumo,10.12,,,,,,,,,
testData,1,02A,C7,C7,,,,AutoEDA,0.74,,,,,,,,,
testData,1,02A,C7,C7,,,,Cardio,0.61,,,,,,,,,
testData,1,02A,R8,R8,,,,UPneumo,9.67,,,,,,,,,
testData,1,02A,R8,R8,,,,LPneumo,10.09,,,,,,,,,
testData,1,02A,R8,R8,,,,AutoEDA,0.36,,,,,,,,,
testData,1,02A,R8,R8,,,,Cardio,0.52,,,,,,,,,
testData,1,02A,C9,C9,,,,UPneumo,10.45,,,,,,,,,
testData,1,02A,C9,C9,,,,LPneumo,11.18,,,,,,,,,
testData,1,02A,C9,C9,,,,AutoEDA,0.59,,,,,,,,,
testData,1,02A,C9,C9,,,,Cardio,,,,,,,,,,
testData,1,03A,C3,C3,,,,UPneumo,6.67,,,,,,,,,
testData,1,03A,C3,C3,,,,LPneumo,7.33,,,,,,,,,
testData,1,03A,C3,C3,,,,AutoEDA,0.04,,,,,,,,,
testData,1,03A,C3,C3,,,,Cardio,0.16,,,,,,,,,
testData,1,03A,R4,R4,,,,UPneumo,8.01,,,,,,,,,
testData,1,03A,R4,R4,,,,LPneumo,10.2,,,,,,,,,
testData,1,03A,R4,R4,,,,AutoEDA,1.14,,,,,,,,,
testData,1,03A,R4,R4,,,,Cardio,0.34,,,,,,,,,
testData,1,03A,C5,C5,,,,UPneumo,8.66,,,,,,,,,
testData,1,03A,C5,C5,,,,LPneumo,8.44,,,,,,,,,
testData,1,03A,C5,C5,,,,AutoEDA,0.09,,,,,,,,,
testData,1,03A,C5,C5,,,,Cardio,0.03,,,,,,,,,
testData,1,03A,R6,R6,,,,UPneumo,8.57,,,,,,,,,
testData,1,03A,R6,R6,,,,LPneumo,8.16,,,,,,,,,
testData,1,03A,R6,R6,,,,AutoEDA,0.08,,,,,,,,,
testData,1,03A,R6,R6,,,,Cardio,0.29,,,,,,,,,
testData,1,03A,C7,C7,,,,UPneumo,8.36,,,,,,,,,
testData,1,03A,C7,C7,,,,LPneumo,10.37,,,,,,,,,
testData,1,03A,C7,C7,,,,AutoEDA,0.06,,,,,,,,,
testData,1,03A,C7,C7,,,,Cardio,0.03,,,,,,,,,
testData,1,03A,R8,R8,,,,UPneumo,7.82,,,,,,,,,
testData,1,03A,R8,R8,,,,LPneumo,9.06,,,,,,,,,
testData,1,03A,R8,R8,,,,AutoEDA,0.14,,,,,,,,,
testData,1,03A,R8,R8,,,,Cardio,,,,,,,,,,
testData,1,03A,C9,C9,,,,UPneumo,8.33,,,,,,,,,
testData,1,03A,C9,C9,,,,LPneumo,10.65,,,,,,,,,
testData,1,03A,C9,C9,,,,AutoEDA,0.37,,,,,,,,,
testData,1,03A,C9,C9,,,,Cardio,,,,,,,,,,